name,country,party,national_party,mep_id,attendance_pct,votes_cast,votes_total_period,special_role,sick_leave,partial_term
Heléne Fritzon,Sweden,Progressive Alliance of Socialists and Democrats (S&D),Swedish Social Democratic Party,197391,99.5,1164,1170,,False,False
Henna Virkkunen,Finland,European People's Party (EPP),National Coalition Party,,0,0,0,,False,False
Henrik Dahl,Denmark,European People's Party (EPP),Liberal Alliance,257028,93.7,1096,1170,,False,False
Herbert Dorfmann,Italy,European People's Party (EPP),South Tyrolean People's Party,96787,99.3,1162,1170,,False,False
Hermann Tertsch,Spain,The Patriots for Europe (PfE),independent politician,197831,92.6,1084,1170,,False,False
Hilde Vautmans,Belgium,Renew Europe (RE),Open Flemish Liberals and Democrats,130100,85.6,1002,1170,,False,False
Hildegard Bentele,Germany,European People's Party (EPP),Christian Democratic Union,197408,69.7,816,1170,,False,False
Hristo Petrov,Bulgaria,Renew Europe (RE),Renew Europe Group,257257,94.9,1110,1170,,False,False
Hélder Sousa Silva,Portugal,European People's Party (EPP),Group of the European People's Party (Christian Democrats),257068,69.9,818,1170,,False,False
Ilaria Salis,Italy,The Left in the European Parliament (GUE/NGL),independent politician,257127,94.3,1103,1170,,False,False
Ilhan Kyuchuk,Bulgaria,The Patriots for Europe (PfE),Movement for Rights and Freedoms,124866,0,0,0,,False,False
Iliya Lazarov,Bulgaria,,,257261,0,0,0,,False,False
Inese Vaidere,Latvia,European People's Party (EPP),Unity Party,28617,97.5,1141,1170,,False,False
Ingeborg ter Laak,Netherlands,European People's Party (EPP),Christian Democratic Appeal,256968,99.6,1165,1170,,False,False
Irena Joveva,Slovenia,Renew Europe (RE),List of Marjan Šarec,197447,99.7,1167,1170,,False,False
Irene Tinagli,Italy,Progressive Alliance of Socialists and Democrats (S&D),Democratic Party,197591,97.2,1137,1170,,False,False
Irmhild Boßdorf,Germany,Europe of Sovereign Nations (ESN),Alternative for Germany,256945,98.4,1151,1170,,False,False
Isabel Wiseler-Santos Lima,Luxembourg,European People's Party (EPP),Christian Social People's Party,197421,0,0,0,,False,False
Isabella Lövin,Sweden,Greens/European Free Alliance (Greens/EFA),Green Party,96675,99.8,1168,1170,,False,False
Isabella Tovaglieri,Italy,The Patriots for Europe (PfE),Lega Nord,197580,96.1,1124,1170,,False,False
Isabelle Le Callennec,France,European People's Party (EPP),Union for a Popular Movement,256920,79.1,926,1170,,False,False
Isilda Gomes,Portugal,Progressive Alliance of Socialists and Democrats (S&D),Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,257075,88.5,1036,1170,,False,False
Iuliu Winkler,Romania,European People's Party (EPP),Democratic Union of Hungarians in Romania,39725,85.2,997,1170,,False,False
Ivan David,Czech Republic,Europe of Sovereign Nations (ESN),Freedom and Direct Democracy,197556,99,1158,1170,,False,False
Ivars Ijabs,Latvia,Renew Europe (RE),For Latvia's Development,197624,69.5,813,1170,,False,False
Ivaylo Vulchev,Bulgaria,,,257258,0,0,0,,False,False
Jaak Madison,Estonia,European Conservatives and Reformists (ECR),Estonian Centre Party,197493,80.2,938,1170,,False,False
Jacek Ozdoba,Poland,European Conservatives and Reformists (ECR),Polska Razem,257086,97.1,1136,1170,,False,False
Jacek Protas,Poland,European People's Party (EPP),Civic Platform,257041,93.4,1093,1170,,False,False
Jadwiga Wiśniewska,Poland,European Conservatives and Reformists (ECR),Law and Justice,124877,98,1147,1170,,False,False
Jan Farský,Czech Republic,European People's Party (EPP),Mayors and Independents,256840,99.2,1161,1170,,False,False
Jan-Christoph Oetjen,Germany,Renew Europe (RE),Free Democratic Party,197432,100,1170,1170,,False,False
Jan-Peter Warnke,Germany,Sahra Wagenknecht Alliance,Sahra Wagenknecht Alliance,256967,96.8,1132,1170,,False,False
Jana Nagyová,Czech Republic,The Patriots for Europe (PfE),ANO 2011,256843,97.4,1139,1170,,False,False
Janusz Lewandowski,Poland,European People's Party (EPP),Liberal Democratic Congress,23781,90.3,1056,1170,,False,False
Jaroslav Bžoch,Czech Republic,The Patriots for Europe (PfE),ANO 2011,220840,79.5,930,1170,,False,False
Jaroslav Knot,Czech Republic,The Patriots for Europe (PfE),Patriots for Europe Group,270261,22,257,1170,,False,False
Jaroslava Pokorná Jermanová,Czech Republic,The Patriots for Europe (PfE),ANO 2011,256844,72.6,850,1170,,False,False
Jaume Asens Llodrà,Spain,Greens/European Free Alliance (Greens/EFA),Procés Constituent,257015,94.9,1110,1170,,False,False
Javier Moreno Sánchez,Spain,Progressive Alliance of Socialists and Democrats (S&D),Spanish Socialist Workers' Party,28347,71.5,836,1170,,False,False
Javier Zarzalejos,Spain,European People's Party (EPP),People's Party,197606,92.4,1081,1170,,False,False
Jean-Marc Germain,France,Progressive Alliance of Socialists and Democrats (S&D),Socialist Party,256901,85.7,1003,1170,,False,False
Jean-Paul Garraud,France,The Patriots for Europe (PfE),The Popular Right,197628,94.9,1110,1170,,False,False
Jeannette Baljeu,Netherlands,Renew Europe (RE),People's Party for Freedom and Democracy,257003,93.8,1097,1170,,False,False
Jens Geier,Germany,Progressive Alliance of Socialists and Democrats (S&D),Social Democratic Party of Germany,96833,95.7,1120,1170,,False,False
Jens Gieseke,Germany,European People's Party (EPP),Christian Democratic Union,124807,91.6,1072,1170,,False,False
Jeroen Lenaers,Netherlands,European People's Party (EPP),Christian Democratic Appeal,95074,99.8,1168,1170,,False,False
Jessica Polfjärd,Sweden,European People's Party (EPP),Moderate Party,197404,99.3,1162,1170,,False,False
Jessika van Leeuwen,Netherlands,European People's Party (EPP),Farmer–Citizen Movement,256983,99.2,1161,1170,,False,False
Joachim Streit,Germany,Renew Europe (RE),Free Voters,256962,89,1041,1170,,False,False
Joanna Scheuring-Wielgus,Poland,Progressive Alliance of Socialists and Democrats (S&D),Nowoczesna,257084,99.1,1160,1170,,False,False
Johan Danielsson,Sweden,Progressive Alliance of Socialists and Democrats (S&D),Swedish Social Democratic Party,38542,99.3,1162,1170,,False,False
Johan Van Overtveldt,Belgium,European Conservatives and Reformists (ECR),New Flemish Alliance,125106,41.7,488,1170,,False,False
Jonas Sjöstedt,Sweden,The Left in the European Parliament (GUE/NGL),Left Party,2268,92.4,1081,1170,,False,False
Jonás Fernández,Spain,Progressive Alliance of Socialists and Democrats (S&D),Spanish Socialist Workers' Party,125046,88,1030,1170,,False,False
Jordan Bardella,France,The Patriots for Europe (PfE),National Rally,131580,86.5,1012,1170,,False,False
Jorge Buxadé Villalba,Spain,The Patriots for Europe (PfE),Vox,197829,93.9,1099,1170,,False,False
Jorge Martín Frías,Spain,The Patriots for Europe (PfE),Patriots for Europe Group,257029,81.3,951,1170,,False,False
José Cepeda,Spain,Progressive Alliance of Socialists and Democrats (S&D),Spanish Socialist Workers' Party,257002,92.1,1078,1170,,False,False
João Cotrim de Figueiredo,Portugal,Renew Europe (RE),Liberal Initiative,257057,97.6,1142,1170,,False,False
João Oliveira,Portugal,The Left in the European Parliament (GUE/NGL),Portuguese Communist Party,257083,59.4,695,1170,,False,False
Judita Laššáková,Slovakia,,,198373,80.8,945,1170,,False,False
Julie Rechagneux,France,The Patriots for Europe (PfE),Patriots for Europe Group,256882,99.3,1162,1170,,False,False
Julien Leonardelli,France,The Patriots for Europe (PfE),Patriots for Europe Group,256895,90.2,1055,1170,,False,False
Julien Sanchez,France,The Patriots for Europe (PfE),National Rally,88552,99.7,1166,1170,,False,False
Jussi Saramo,Finland,The Left in the European Parliament (GUE/NGL),Left Alliance,127766,98.6,1154,1170,,False,False
Jutta Paulus,Germany,Greens/European Free Alliance (Greens/EFA),Alliance '90/The Greens,197466,80.4,941,1170,,False,False
Jörgen Warborn,Sweden,European People's Party (EPP),Moderate Party,197405,99.7,1167,1170,,False,False
Jüri Ratas,Estonia,European People's Party (EPP),Isamaa,188096,99.7,1166,1170,,False,False
Kai Tegethoff,Germany,Greens/European Free Alliance (Greens/EFA),Volt Europa,256965,99.2,1161,1170,,False,False
Kamila Gasiuk-Pihowicz,Poland,European People's Party (EPP),Civic Platform,257032,97.9,1145,1170,,False,False
Karin Karlsbro,Sweden,Renew Europe (RE),Liberals,197401,94,1100,1170,,False,False
Karlo Ressler,Croatia,European People's Party (EPP),Croatian Democratic Union,197413,92.5,1082,1170,,False,False
Katarina Barley,Germany,Progressive Alliance of Socialists and Democrats (S&D),Social Democratic Party of Germany,197433,51,597,1170,,False,False
Katarína Roth Neveďalová,Slovakia,Progressive Alliance of Socialists and Democrats (S&D),Direction – Social Democracy,96653,89.7,1050,1170,,False,False
Kateřina Konečná,Czech Republic,The Left in the European Parliament (GUE/NGL),Communist Party of Bohemia and Moravia,23699,89.4,1046,1170,,False,False
Kathleen Funchion,Ireland,The Left in the European Parliament (GUE/NGL),Sinn Féin,257299,94.4,1105,1170,,False,False
Kathleen Van Brempt,Belgium,Progressive Alliance of Socialists and Democrats (S&D),Vooruit,5729,93,1088,1170,,False,False
Katri Kulmuni,Finland,Renew Europe (RE),Centre Party,198084,94.6,1107,1170,,False,False
Katrin Langensiepen,Germany,Greens/European Free Alliance (Greens/EFA),Alliance '90/The Greens,197461,86.8,1016,1170,,False,False
Kim van Sparrentak,Netherlands,Greens/European Free Alliance (Greens/EFA),GroenLinks,197870,99.5,1164,1170,,False,False
Kinga Gál,Hungary,The Patriots for Europe (PfE),Fidesz,28150,83.2,974,1170,,False,False
Kinga Kollár,Hungary,European People's Party (EPP),Respect and Freedom Party,256861,68.4,800,1170,,False,False
Kira Marie Peter-Hansen,Denmark,Greens/European Free Alliance (Greens/EFA),Green Left,197573,97.3,1138,1170,,False,False
Klára Dobrev,Hungary,Progressive Alliance of Socialists and Democrats (S&D),Democratic Coalition,197579,61.3,717,1170,,False,False
Klára Dostálová,Czech Republic,European People's Party (EPP),ANO 2011,256853,0,0,0,,False,False
Kosma Złotowski,Poland,European Conservatives and Reformists (ECR),Law and Justice,124884,99.2,1161,1170,,False,False
Kostas Mavrides,Cyprus,European People's Party (EPP),Democratic Party (Cyprus),124691,0,0,0,,False,False
Kris Van Dijck,Belgium,European Conservatives and Reformists (ECR),New Flemish Alliance,256884,71.6,838,1170,,False,False
Kristian Vigenin,Bulgaria,Progressive Alliance of Socialists and Democrats (S&D),Bulgarian Socialist Party,34232,93.8,1097,1170,,False,False
Kristoffer Hjort Storm,Denmark,Denmark Democrats - Inger Støjberg,Denmark Democrats - Inger Støjberg,257025,0,0,0,,False,False
Krzysztof Brejza,Poland,European People's Party (EPP),Civic Platform,251324,70.6,826,1170,,False,False
Krzysztof Hetman,Poland,European People's Party (EPP),Polish People's Party,124895,79.1,926,1170,,False,False
Krzysztof Śmiszek,Poland,Progressive Alliance of Socialists and Democrats (S&D),New Left,257085,88.6,1037,1170,,False,False
Lara Magoni,Italy,European Conservatives and Reformists (ECR),Brothers of Italy,257149,92.9,1087,1170,,False,False
Lara Wolters,Netherlands,Progressive Alliance of Socialists and Democrats (S&D),Labour Party,5392,70.9,830,1170,,False,False
Laura Ballarín Cereza,Spain,Progressive Alliance of Socialists and Democrats (S&D),Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,247735,98.6,1154,1170,,False,False
Laurence Farreng,France,Renew Europe (RE),Democratic Movement,197589,87.4,1022,1170,,False,False
Laurence Trochu,France,European Conservatives and Reformists (ECR),Identity–Freedoms,256925,92.4,1081,1170,,False,False
Laurent Castillo,France,European People's Party (EPP),Group of the European People's Party (Christian Democrats),256921,90.2,1055,1170,,False,False
Lefteris Nikolaou-Alavanos,Greece,The Left in the European Parliament (GUE/NGL),Communist Party of Greece,197734,85.8,1004,1170,,False,False
Leire Pajín,Spain,Progressive Alliance of Socialists and Democrats (S&D),Spanish Socialist Workers' Party,256993,97.6,1142,1170,,False,False
Lena Düpont,Germany,European People's Party (EPP),Christian Democratic Union,99945,69.3,811,1170,,False,False
Lena Schilling,Austria,Greens/European Free Alliance (Greens/EFA),Group of the Greens/European Free Alliance,256833,93.9,1099,1170,,False,False
Leoluca Orlando,Italy,Greens/European Free Alliance (Greens/EFA),Democracy Is Freedom – The Daisy,2152,97.4,1139,1170,,False,False
Letizia Moratti,Italy,European People's Party (EPP),The People of Freedom,257151,50.1,586,1170,,False,False
Leïla Chaibi,France,The Left in the European Parliament (GUE/NGL),La France insoumise,197529,0,0,0,,False,False
Li Andersson,Finland,The Left in the European Parliament (GUE/NGL),Left Alliance,256805,90.6,1060,1170,,False,False
Liesbet Sommen,Belgium,European People's Party (EPP),Group of the European People's Party (Christian Democrats),256889,99.3,1162,1170,,False,False
Loránt Vincze,Romania,European People's Party (EPP),Democratic Union of Hungarians in Romania,98582,82.1,961,1170,,False,False
Loukas Fourlas,Cyprus,European People's Party (EPP),Democratic Rally,197414,0,0,0,,False,False
Luboš Blaha,Slovakia,Progressive Alliance of Socialists and Democrats (S&D),Direction – Social Democracy,257005,0,0,0,,False,False
Lucia Annunziata,Italy,Progressive Alliance of Socialists and Democrats (S&D),Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,257123,76.2,892,1170,,False,False
Lucia Yar,Slovakia,Renew Europe (RE),Renew Europe Group,257011,96.1,1124,1170,,False,False
Luděk Niedermayer,Czech Republic,European People's Party (EPP),TOP 09,124701,99.4,1163,1170,,False,False
Lukas Mandl,Austria,European People's Party (EPP),Austrian People's Party,190713,82.1,961,1170,,False,False
Lukas Sieper,Germany,Party of Progress,Party of Progress,256971,92.7,1085,1170,,False,False
Luke 'Ming' Flanagan,Ireland,,,124985,0,0,0,,False,False
Lynn Boylan,Ireland,The Left in the European Parliament (GUE/NGL),Sinn Féin,124984,70.3,822,1170,,False,False
Lídia Pereira,Portugal,European People's Party (EPP),Social Democratic Party,197738,85.2,997,1170,,False,False
Maciej Wąsik,Poland,European Conservatives and Reformists (ECR),Law and Justice,257052,90.7,1061,1170,,False,False
Magdalena Adamowicz,Poland,European People's Party (EPP),Civic Platform,197490,96.3,1127,1170,,False,False
Majdouline Sbaï,France,,,256917,0,0,0,,False,False
Malik Azmani,Netherlands,Renew Europe (RE),People's Party for Freedom and Democracy,197781,99.4,1163,1170,,False,False
Malika Sorel,France,The Patriots for Europe (PfE),National Rally,256871,100,1170,1170,,False,False
Manfred Weber,Germany,European People's Party (EPP),Christian Social Union of Bavaria,28229,67.9,794,1170,,False,False
Manon Aubry,France,The Left in the European Parliament (GUE/NGL),La France insoumise,197533,97.2,1137,1170,,False,False
Manuela Ripa,Germany,European People's Party (EPP),Ecological Democratic Party,206158,99.1,1159,1170,,False,False
Maravillas Abadía Jover,Spain,European People's Party (EPP),Group of the European People's Party (Christian Democrats),257043,92.1,1077,1170,,False,False
Marc Angel,Luxembourg,Progressive Alliance of Socialists and Democrats (S&D),Luxembourg Socialist Workers' Party,202073,98.4,1151,1170,,False,False
Marc Botenga,Belgium,The Left in the European Parliament (GUE/NGL),Workers' Party of Belgium,187917,87.7,1026,1170,,False,False
Marc Jongen,Germany,Europe of Sovereign Nations (ESN),Alternative for Germany,256942,99.1,1160,1170,,False,False
Marcin Sypniewski,Poland,Europe of Sovereign Nations (ESN),Congress of the New Right,257070,99.4,1163,1170,,False,False
Marco Falcone,Italy,European People's Party (EPP),Group of the European People's Party (Christian Democrats),257137,87.4,1022,1170,,False,False
Marco Squarta,Italy,European Conservatives and Reformists (ECR),European Conservatives and Reformists Group,257109,86.8,1016,1170,,False,False
Marco Tarquinio,Italy,Progressive Alliance of Socialists and Democrats (S&D),Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,257160,89.7,1050,1170,,False,False
Marcos Ros Sempere,Spain,Progressive Alliance of Socialists and Democrats (S&D),Spanish Socialist Workers' Party,204413,69.9,818,1170,,False,False
Margarita de la Pisa Carrión,Spain,The Patriots for Europe (PfE),Vox,204414,99.8,1168,1170,,False,False
Maria Grapini,Romania,Progressive Alliance of Socialists and Democrats (S&D),Humanist Power Party,124785,64.4,753,1170,,False,False
Maria Guzenina,Finland,Progressive Alliance of Socialists and Democrats (S&D),Social Democratic Party of Finland,256803,64.9,759,1170,,False,False
Maria Noichl,Germany,Progressive Alliance of Socialists and Democrats (S&D),Social Democratic Party of Germany,124836,99.1,1160,1170,,False,False
Maria Ohisalo,Finland,Greens/European Free Alliance (Greens/EFA),Green League,198076,28.9,338,1170,,False,False
Maria Walsh,Ireland,European People's Party (EPP),Fine Gael,197863,83.2,973,1170,,False,False
Maria Zacharia,Greece,Course of Freedom,Course of Freedom,256955,98.5,1153,1170,,False,False
Marianne Vind,Denmark,Progressive Alliance of Socialists and Democrats (S&D),Social Democrats,199941,85.6,1002,1170,,False,False
Mariateresa Vivaldini,Italy,European Conservatives and Reformists (ECR),European Conservatives and Reformists Group,257143,97.9,1146,1170,,False,False
Marie Dauchy,France,The Patriots for Europe (PfE),National Rally,236050,90.8,1062,1170,,False,False
Marie Toussaint,France,Greens/European Free Alliance (Greens/EFA),The Ecologists – Europe Écologie Les Verts,97236,96.5,1129,1170,,False,False
Marie-Agnes Strack-Zimmermann,Germany,Renew Europe (RE),Free Democratic Party,256926,73.6,861,1170,,False,False
Marie-Luce Brasier-Clain,France,The Patriots for Europe (PfE),Patriots for Europe Group,256878,99.8,1168,1170,,False,False
Marie-Pierre Vedrenne,France,Renew Europe (RE),Renaissance,197502,97.6,1142,1170,,False,False
Marieke Ehlers,Netherlands,The Patriots for Europe (PfE),Patriots for Europe Group,192254,94.4,1104,1170,,False,False
Marina Kaljurand,Estonia,Progressive Alliance of Socialists and Democrats (S&D),Social Democratic Party,197491,98.5,1153,1170,,False,False
Marina Mesure,France,,,236053,96.8,1132,1170,,False,False
Mario Furore,Italy,Renew Europe (RE),Five Star Movement,197795,86.2,1008,1170,,False,False
Mario Mantovani,Italy,European Conservatives and Reformists (ECR),The People of Freedom,4395,73.8,863,1170,,False,False
Marion Maréchal,France,European Conservatives and Reformists (ECR),Identity–Freedoms,256922,89.5,1047,1170,,False,False
Marion Walsmann,Germany,European People's Party (EPP),Christian Democratic Union,197429,90.5,1059,1170,,False,False
Marit Maij,Netherlands,Progressive Alliance of Socialists and Democrats (S&D),Labour Party,91636,99.4,1163,1170,,False,False
Mariusz Kamiński,Poland,European Conservatives and Reformists (ECR),Citizens' Movement for Democratic Action,257056,99.2,1161,1170,,False,False
Marjan Šarec,Slovenia,Renew Europe (RE),Freedom Movement,256815,72,842,1170,,False,False
Marko Vešligaj,Croatia,Progressive Alliance of Socialists and Democrats (S&D),Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,260035,65.5,766,1170,,False,False
Markus Buchheit,Germany,Europe of Sovereign Nations (ESN),Alternative for Germany,128483,88.5,1035,1170,,False,False
Markus Ferber,Germany,European People's Party (EPP),Christian Social Union of Bavaria,1917,97.8,1144,1170,,False,False
Markéta Gregorová,Czech Republic,Greens/European Free Alliance (Greens/EFA),Czech Pirate Party,197549,70.9,829,1170,,False,False
Marlena Maląg,Poland,European Conservatives and Reformists (ECR),European Conservatives and Reformists Group,257077,98.3,1150,1170,,False,False
Marta Temido,Portugal,Progressive Alliance of Socialists and Democrats (S&D),Socialist Party,210480,70.1,820,1170,,False,False
Marta Wcisło,Poland,European People's Party (EPP),Civic Platform,257046,99.2,1161,1170,,False,False
Martin Hojsík,Slovakia,Renew Europe (RE),Progressive Slovakia,197770,96.1,1124,1170,,False,False
Martin Häusling,Germany,Greens/European Free Alliance (Greens/EFA),Alliance '90/The Greens,96752,95.4,1116,1170,,False,False
Martin Schirdewan,Germany,,,190517,93.7,1096,1170,,False,False
Martin Sonneborn,Germany,Die PARTEI,Die PARTEI,124834,90.2,1055,1170,,False,False
Martine Kemp,Luxembourg,European People's Party (EPP),Christian Social People's Party,249603,49.9,584,1170,,False,False
Mary Khan-Hohloch,Germany,European Conservatives and Reformists (ECR),Young Alternative for Germany,256957,0,0,0,,False,False
Massimiliano Salini,Italy,European People's Party (EPP),Forza Italia,125670,99.7,1167,1170,,False,False
Matej Tonin,Slovenia,European People's Party (EPP),New Slovenia,219652,96.3,1127,1170,,False,False
Mathilde Androuët,France,The Patriots for Europe (PfE),National Rally,197691,95,1111,1170,,False,False
Matjaž Nemec,Slovenia,Progressive Alliance of Socialists and Democrats (S&D),Social Democrats,233862,87.9,1028,1170,,False,False
Matteo Ricci,Italy,Progressive Alliance of Socialists and Democrats (S&D),Democratic Party,257121,66,772,1170,,False,False
Matthias Ecke,Germany,Progressive Alliance of Socialists and Democrats (S&D),Social Democratic Party of Germany,237465,98.5,1153,1170,,False,False
Matthieu Valet,France,The Patriots for Europe (PfE),National Rally,256875,69.8,817,1170,,False,False
Małgorzata Gosiewska,Poland,European Conservatives and Reformists (ECR),Law and Justice,257055,99.1,1160,1170,,False,False
Merja Kyllönen,Finland,The Left in the European Parliament (GUE/NGL),Left Alliance,124736,85.4,999,1170,,False,False
Michael Bloss,Germany,Greens/European Free Alliance (Greens/EFA),Alliance '90/The Greens,197449,98,1147,1170,,False,False
Michael Gahler,Germany,European People's Party (EPP),Christian Democratic Union,2341,91.2,1067,1170,,False,False
Michael McNamara,Ireland,Renew Europe (RE),Labour Party,257300,84.8,992,1170,,False,False
Michael von der Schulenburg,Germany,Sahra Wagenknecht Alliance,Sahra Wagenknecht Alliance,256966,97.4,1140,1170,,False,False
Michal Wiezik,Slovakia,Renew Europe (RE),Progressive Slovakia,197769,96.1,1124,1170,,False,False
Michalis Catzipantela,Cyprus,,,256985,0,0,0,,False,False
Michał Kobosko,Poland,Renew Europe (RE),Poland 2050,257037,99.3,1162,1170,,False,False
Michał Szczerba,Poland,European People's Party (EPP),Solidarity Electoral Action,257026,97.8,1144,1170,,False,False
Michał Wawrykiewicz,Poland,European People's Party (EPP),Group of the European People's Party (Christian Democrats),257045,82.2,962,1170,,False,False
Michele Picaro,Italy,European Conservatives and Reformists (ECR),European Conservatives and Reformists Group,257150,98.2,1149,1170,,False,False
Mihai Tudose,Romania,Progressive Alliance of Socialists and Democrats (S&D),Social Democratic Party,198183,53.3,624,1170,,False,False
Mika Aaltola,Finland,European People's Party (EPP),Group of the European People's Party (Christian Democrats),256810,73.3,858,1170,,False,False
Milan Mazurek,Slovakia,Europe of Sovereign Nations (ESN),Republic,249982,99,1158,1170,,False,False
Milan Uhrík,Slovakia,Europe of Sovereign Nations (ESN),Republic,197763,71.5,836,1170,,False,False
Milan Zver,Slovenia,European People's Party (EPP),Slovenian Democratic Party,96933,74.4,871,1170,,False,False
Mireia Borrás Pabón,Spain,The Patriots for Europe (PfE),Vox,257024,98.2,1149,1170,,False,False
Miriam Lexmann,Slovakia,European People's Party (EPP),Christian Democratic Movement,204336,75.9,888,1170,,False,False
Mirosława Nykiel,Poland,European People's Party (EPP),Civic Platform,257049,99.8,1168,1170,,False,False
Mohammed Chahim,Netherlands,Progressive Alliance of Socialists and Democrats (S&D),Labour Party,197782,96.8,1132,1170,,False,False
Monika Beňová,Slovakia,Progressive Alliance of Socialists and Democrats (S&D),Direction – Social Democracy,23868,62.4,730,1170,,False,False
Monika Hohlmeier,Germany,European People's Party (EPP),Christian Social Union of Bavaria,96780,70.1,820,1170,,False,False
Moritz Körner,Germany,Renew Europe (RE),Free Democratic Party,197445,94.4,1105,1170,,False,False
Morten Løkkegaard,Denmark,Renew Europe (RE),Venstre,96709,99.1,1160,1170,,False,False
Mounir Satouri,France,Greens/European Free Alliance (Greens/EFA),The Ecologists – Europe Écologie Les Verts,197500,98.1,1148,1170,,False,False
Murielle Laurent,France,Progressive Alliance of Socialists and Democrats (S&D),Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,256899,82,959,1170,,False,False
Mélanie Disdier,France,The Patriots for Europe (PfE),National Rally,256874,99.2,1161,1170,,False,False
Mélissa Camara,France,Greens/European Free Alliance (Greens/EFA),Group of the Greens/European Free Alliance,256915,86.8,1015,1170,,False,False
Mārtiņš Staķis,Latvia,Greens/European Free Alliance (Greens/EFA),The Progressives,256916,94.9,1110,1170,,False,False
Nacho Sánchez Amor,Spain,Progressive Alliance of Socialists and Democrats (S&D),Spanish Socialist Workers' Party,197722,91.9,1075,1170,,False,False
Nadine Morano,France,European People's Party (EPP),The Republicans,72779,97.4,1139,1170,,False,False
Nathalie Loiseau,France,Renew Europe (RE),Renaissance,197494,69.5,813,1170,,False,False
Nela Riehl,Germany,Greens/European Free Alliance (Greens/EFA),Volt Europa,256964,99.1,1159,1170,,False,False
Niclas Herbst,Germany,European People's Party (EPP),Christian Democratic Union,197412,95,1111,1170,,False,False
Nicola Procaccini,Italy,European Conservatives and Reformists (ECR),The People of Freedom,197820,94.7,1108,1170,,False,False
Nicola Zingaretti,Italy,Progressive Alliance of Socialists and Democrats (S&D),Democratic Party,28419,90.8,1062,1170,,False,False
Nicolae Ștefănuță,Romania,Greens/European Free Alliance (Greens/EFA),independent politician,58766,57.4,671,1170,,False,False
Nicolas Bay,France,European Conservatives and Reformists (ECR),Identity–Freedoms,124760,99.7,1166,1170,,False,False
Nicolás González Casares,Spain,Progressive Alliance of Socialists and Democrats (S&D),Spanish Socialist Workers' Party,197718,95.1,1113,1170,,False,False
Nicolás Pascual de la Parte,Spain,European People's Party (EPP),Group of the European People's Party (Christian Democrats),257040,96.2,1125,1170,,False,False
Niels Flemming Hansen,Denmark,European People's Party (EPP),Conservative People's Party,257033,97.2,1137,1170,,False,False
Niels Fuglsang,Denmark,Progressive Alliance of Socialists and Democrats (S&D),Social Democrats,101585,92.4,1081,1170,,False,False
Niels Geuking,Germany,European People's Party (EPP),Group of the European People's Party (Christian Democrats),251874,99.3,1162,1170,,False,False
Nikola Bartůšek,Czech Republic,The Patriots for Europe (PfE),Oath,256852,91.2,1067,1170,,False,False
Nikola Minchev,Bulgaria,Renew Europe (RE),We Continue the Change,257259,93.4,1093,1170,,False,False
Nikolas Farantouris,Greece,The Left in the European Parliament (GUE/NGL),SYRIZA,256823,79.2,927,1170,,False,False
Nikolina Brnjac,Croatia,European People's Party (EPP),Croatian Democratic Union,204129,72.9,853,1170,,False,False
Nikos Pappas,Greece,Communist Party of Greece (Interior),Communist Party of Greece (Interior),256952,67.1,785,1170,,False,False
Nils Ušakovs,Latvia,Progressive Alliance of Socialists and Democrats (S&D),"Social Democratic Party ""Harmony""",197810,74.6,873,1170,,False,False
Nina Carberry,Ireland,European People's Party (EPP),Fine Gael,257296,99.8,1168,1170,,False,False
Nora Mebarek,France,Progressive Alliance of Socialists and Democrats (S&D),Socialist Party,204418,94.1,1101,1170,,False,False
Norbert Lins,Germany,European People's Party (EPP),Christian Democratic Union,124808,91.3,1068,1170,,False,False
Níkos Papandréou,Greece,,,244571,0,0,0,,False,False
Oliver Schenk,Germany,European People's Party (EPP),Christian Democratic Union,256979,95.1,1113,1170,,False,False
Olivier Chastel,Belgium,Renew Europe (RE),Reformist Movement,197463,97.2,1137,1170,,False,False
Ondřej Dostál,Czech Republic,Stačilo!,Stačilo!,256851,90.9,1064,1170,,False,False
Ondřej Knotek,Czech Republic,The Patriots for Europe (PfE),ANO 2011,197528,89.8,1051,1170,,False,False
Ondřej Kolář,Czech Republic,European People's Party (EPP),TOP 09,256846,99.1,1160,1170,,False,False
Ondřej Krutílek,Czech Republic,European Conservatives and Reformists (ECR),Civic Democratic Party,256845,99.5,1164,1170,,False,False
Pablo Arias Echeverría,Spain,European People's Party (EPP),People's Party,96808,91.5,1070,1170,,False,False
Paolo Borchia,Italy,The Patriots for Europe (PfE),Lega Nord,101039,99.2,1161,1170,,False,False
Paolo Inselvini,Italy,European Conservatives and Reformists (ECR),European Conservatives and Reformists Group,257144,89.1,1043,1170,,False,False
Pascal Arimont,Belgium,European People's Party (EPP),Christlich Soziale Partei,24922,79.1,926,1170,,False,False
Pascal Canfin,France,Renew Europe (RE),Renaissance,96711,95.1,1113,1170,,False,False
Pascale Piera,France,The Patriots for Europe (PfE),National Rally,256877,99.7,1166,1170,,False,False
