name,country,party,national_party,mep_id,attendance_pct,votes_cast,votes_total_period,special_role,sick_leave,partial_term
Annalisa Corrado,Italy,Progressive Alliance of Socialists and Democrats (S&D),Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,257169,74.2,868,1170,,False,False
Annamária Vicsek,Hungary,The Patriots for Europe (PfE),Alliance of Vojvodina Hungarians,256859,90.6,1060,1170,,False,False
Anne-Sophie Frigout,France,The Patriots for Europe (PfE),National Rally,256876,80.9,946,1170,,False,False
Anouk van Brug,Netherlands,Renew Europe (RE),Renew Europe Group,257438,52.3,612,1170,,False,False
Anthony Smith,France,,,256910,98.5,1152,1170,,False,False
Antonella Sberna,Italy,European Conservatives and Reformists (ECR),Brothers of Italy,257113,82.6,967,1170,,False,False
Antonio Decaro,Italy,Progressive Alliance of Socialists and Democrats (S&D),Democratic Party,257122,74.7,874,1170,,False,False
Antonio López-Istúriz White,Spain,European People's Party (EPP),People's Party,28399,87.8,1027,1170,,False,False
António Tânger,Portugal,The Patriots for Europe (PfE),Chega,257050,93.8,1097,1170,,False,False
Aodhán Ó Ríordáin,Ireland,Progressive Alliance of Socialists and Democrats (S&D),Labour Party,257238,93,1088,1170,,False,False
Arash Saeidi,France,,,256911,82.6,967,1170,,False,False
Arba Kokalari,Sweden,European People's Party (EPP),Moderate Party,197406,99.1,1160,1170,,False,False
Arkadiusz Mularczyk,Poland,European Conservatives and Reformists (ECR),Sovereign Poland,257060,97.9,1145,1170,,False,False
Arno Bausemer,Germany,Europe of Sovereign Nations (ESN),Alternative for Germany,256948,52.2,611,1170,,False,False
Asger Christensen,Denmark,Renew Europe (RE),Venstre,197558,89.3,1045,1170,,False,False
Assita Kanko,Belgium,European Conservatives and Reformists (ECR),New Flemish Alliance,197469,56.3,659,1170,,False,False
Auke Zijlstra,Netherlands,The Patriots for Europe (PfE),Party for Freedom,103246,99.1,1160,1170,,False,False
Aura Salla,Finland,European People's Party (EPP),National Coalition Party,98219,78.2,915,1170,,False,False
Aurelijus Veryga,Lithuania,European Conservatives and Reformists (ECR),independent politician,256811,98.5,1153,1170,,False,False
Aurore Lalucq,France,Progressive Alliance of Socialists and Democrats (S&D),Place publique,197697,78.2,915,1170,,False,False
Axel Voss,Germany,European People's Party (EPP),Christian Democratic Union,96761,90.2,1055,1170,,False,False
Barbara Bonte,Belgium,The Patriots for Europe (PfE),Flemish Interest,256881,91.1,1066,1170,,False,False
Barry Andrews,Ireland,Renew Europe (RE),Fianna Fáil,204332,89.1,1042,1170,,False,False
Barry Cowen,Ireland,Renew Europe (RE),Fianna Fáil,257297,98.3,1150,1170,,False,False
Bart Groothuis,Netherlands,Renew Europe (RE),People's Party for Freedom and Democracy,197780,77.4,905,1170,,False,False
Bartosz Arłukowicz,Poland,European People's Party (EPP),Civic Platform,197492,86.2,1009,1170,,False,False
Bartłomiej Sienkiewicz,Poland,European People's Party (EPP),Civic Platform,86057,96.8,1133,1170,,False,False
Bas Eickhout,Netherlands,Greens/European Free Alliance (Greens/EFA),GroenLinks,96725,98.1,1148,1170,,False,False
Beata Szydło,Poland,European Conservatives and Reformists (ECR),Law and Justice,197553,83.2,973,1170,,False,False
Beatrice Rugland Timgren,Sweden,Identity and Democracy (ID),Sweden Democrats,257090,0,0,0,,False,False
Benedetta Scuderi,Italy,Greens/European Free Alliance (Greens/EFA),Green Europe,257139,81.1,949,1170,,False,False
Benoît Cassart,Belgium,,,256891,0,0,0,,False,False
Bernard Guetta,France,Renew Europe (RE),Revolutionary Communist League,197543,64.9,759,1170,,False,False
Bert-Jan Ruissen,Netherlands,European Conservatives and Reformists (ECR),Reformed Political Party,197773,99.7,1167,1170,,False,False
Biljana Borzan,Croatia,Progressive Alliance of Socialists and Democrats (S&D),Social Democratic Party of Croatia,112748,93.5,1094,1170,,False,False
Billy Kelleher,Ireland,Renew Europe (RE),Fianna Fáil,197818,82.1,960,1170,,False,False
Birgit Sippel,Germany,Progressive Alliance of Socialists and Democrats (S&D),Social Democratic Party of Germany,96932,75.1,879,1170,,False,False
Bogdan Rzońca,Poland,European Conservatives and Reformists (ECR),Law and Justice,197545,99.1,1160,1170,,False,False
Borja Giménez Larraz,Spain,European People's Party (EPP),Group of the European People's Party (Christian Democrats),125204,99.2,1161,1170,,False,False
Borys Budka,Poland,European People's Party (EPP),Conservative People's Party,257047,78,913,1170,,False,False
Brando Benifei,Italy,Progressive Alliance of Socialists and Democrats (S&D),Democratic Party,124867,81,948,1170,,False,False
Branislav Ondruš,Slovakia,Progressive Alliance of Socialists and Democrats (S&D),Direction – Social Democracy,257018,70.3,823,1170,,False,False
Branko Grims,Slovenia,European People's Party (EPP),Slovenian Democratic Party,220908,87.8,1027,1170,,False,False
Brigitte van den Berg,Netherlands,Renew Europe (RE),Renew Europe Group,256976,74.8,875,1170,,False,False
Bruno Gonçalves,Portugal,Progressive Alliance of Socialists and Democrats (S&D),Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,257059,71.5,837,1170,,False,False
Bruno Tobback,Belgium,Progressive Alliance of Socialists and Democrats (S&D),Vooruit,256885,99.7,1166,1170,,False,False
Camilla Laureti,Italy,Progressive Alliance of Socialists and Democrats (S&D),Democratic Party,230085,98.9,1157,1170,,False,False
Carla Tavares,Portugal,Progressive Alliance of Socialists and Democrats (S&D),Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,257071,93.9,1099,1170,,False,False
Carlo Ciccioli,Italy,European Conservatives and Reformists (ECR),National Alliance,257093,71.7,839,1170,,False,False
Carlo Fidanza,Italy,European Conservatives and Reformists (ECR),National Alliance,96810,98.9,1157,1170,,False,False
Carola Rackete,Germany,,,256927,77.6,908,1170,,False,False
Carolina Morace,Italy,,,257140,91,1065,1170,,False,False
Catarina Martins,Portugal,The Left in the European Parliament (GUE/NGL),Left Bloc,257063,62.2,728,1170,,False,False
Catarina Vieira,Netherlands,Greens/European Free Alliance (Greens/EFA),GroenLinks,257437,99.4,1163,1170,,False,False
Caterina Chinnici,Italy,European People's Party (EPP),Democratic Party,124861,80.3,939,1170,,False,False
Catherine Griset,France,The Patriots for Europe (PfE),National Rally,94649,99.3,1162,1170,,False,False
Cecilia Strada,Italy,Progressive Alliance of Socialists and Democrats (S&D),Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,257101,98.9,1157,1170,,False,False
Charles Goerens,Luxembourg,Renew Europe (RE),Democratic Party,840,96.7,1131,1170,,False,False
Charlie Weimers,Sweden,European Conservatives and Reformists (ECR),Sweden Democrats,123562,99.3,1162,1170,,False,False
Chloé Ridel,France,Progressive Alliance of Socialists and Democrats (S&D),Socialist Party,256904,69.7,815,1170,,False,False
Christel Schaldemose,Denmark,Progressive Alliance of Socialists and Democrats (S&D),Social Democrats,37312,93.7,1096,1170,,False,False
Christian Doleschal,Germany,European People's Party (EPP),Christian Social Union of Bavaria,197473,87.5,1024,1170,,False,False
Christian Ehler,Germany,European People's Party (EPP),Christian Democratic Union,28226,87.6,1025,1170,,False,False
Christine Anderson,Germany,Europe of Sovereign Nations (ESN),Alternative for Germany,197475,99.3,1162,1170,,False,False
Christine Schneider,Germany,European People's Party (EPP),Christian Democratic Union,197422,71,831,1170,,False,False
Christine Singer,Germany,Renew Europe (RE),Renew Europe Group,256946,98.5,1152,1170,,False,False
Christophe Bay,France,The Patriots for Europe (PfE),National Rally,261797,98.4,1151,1170,,False,False
Christophe Clergeau,France,Progressive Alliance of Socialists and Democrats (S&D),Socialist Party,245018,77.2,903,1170,,False,False
Christophe Gomart,France,European People's Party (EPP),Group of the European People's Party (Christian Democrats),256919,94.4,1104,1170,,False,False
Christophe Grudler,France,Renew Europe (RE),Democratic Movement,197557,97.3,1138,1170,,False,False
Ciaran Mullooly,Ireland,Renew Europe (RE),Renew Europe Group,257298,77,901,1170,,False,False
Claire Fita,France,Progressive Alliance of Socialists and Democrats (S&D),Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,256906,73.5,860,1170,,False,False
Cristina Guarda,Italy,Greens/European Free Alliance (Greens/EFA),Group of the Greens/European Free Alliance,257130,83.8,981,1170,,False,False
Cristina Maestre,Spain,Progressive Alliance of Socialists and Democrats (S&D),Spanish Socialist Workers' Party,197719,94.5,1106,1170,,False,False
Csaba Dömötör,Hungary,The Patriots for Europe (PfE),Fidesz,260724,90.7,1061,1170,,False,False
Csaba Molnár,Hungary,Progressive Alliance of Socialists and Democrats (S&D),Hungarian Socialist Party,124722,67.5,790,1170,,False,False
Cynthia Ní Mhurchú,Ireland,Renew Europe (RE),Renew Europe Group,257301,98.5,1152,1170,,False,False
Céline Imart,France,European People's Party (EPP),The Republicans,256918,84.7,991,1170,,False,False
Dainius Žalimas,Lithuania,Renew Europe (RE),Homeland Union – Lithuanian Christian Democrats,256807,67.9,795,1170,,False,False
Damian Boeselager,Germany,Greens/European Free Alliance (Greens/EFA),Volt Europa,197439,94.1,1101,1170,,False,False
Damien Carême,France,Greens/European Free Alliance (Greens/EFA),The Ecologists – Europe Écologie Les Verts,197574,84.6,990,1170,,False,False
Dan Barna,Romania,Renew Europe (RE),Save Romania Union,257110,92,1076,1170,,False,False
Dan Nica,Romania,Progressive Alliance of Socialists and Democrats (S&D),Social Democratic Party,124784,62.1,727,1170,,False,False
Daniel Attard,Malta,Progressive Alliance of Socialists and Democrats (S&D),Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,256934,89.8,1051,1170,,False,False
Daniel Buda,Romania,European People's Party (EPP),National Liberal Party,125012,93.3,1092,1170,,False,False
Daniel Caspary,Germany,European People's Party (EPP),Christian Democratic Union,28219,94.7,1108,1170,,False,False
Daniel Freund,Germany,Greens/European Free Alliance (Greens/EFA),Alliance '90/The Greens,106936,99.6,1165,1170,,False,False
Daniel Obajtek,Poland,European Conservatives and Reformists (ECR),Law and Justice,257058,74,866,1170,,False,False
Daniele Polato,Italy,European Conservatives and Reformists (ECR),European Conservatives and Reformists Group,257145,98.4,1151,1170,,False,False
Danilo Della Valle,Italy,,,257155,97.6,1142,1170,,False,False
Danuše Nerudová,Czech Republic,European People's Party (EPP),Mayors and Independents,256847,96.4,1128,1170,,False,False
Dario Nardella,Italy,Progressive Alliance of Socialists and Democrats (S&D),Democratic Party,257111,52.1,610,1170,,False,False
Dario Tamburrano,Italy,Renew Europe (RE),Five Star Movement,124813,98.5,1153,1170,,False,False
Dariusz Joński,Poland,European People's Party (EPP),Polish Initiative,257031,98.5,1152,1170,,False,False
David Casa,Malta,European People's Party (EPP),Nationalist Party,28122,99.5,1164,1170,,False,False
David Cormand,France,Greens/European Free Alliance (Greens/EFA),The Ecologists – Europe Écologie Les Verts,197503,98,1147,1170,,False,False
David McAllister,Germany,European People's Party (EPP),Christian Democratic Union,124806,81.9,958,1170,,False,False
Davor Ivo Stier,Croatia,European People's Party (EPP),Croatian Democratic Union,119435,97.1,1136,1170,,False,False
Delara Burkhardt,Germany,Progressive Alliance of Socialists and Democrats (S&D),Social Democratic Party of Germany,197440,28,328,1170,,False,False
Denis Nesci,Italy,European Conservatives and Reformists (ECR),European Conservatives and Reformists Group,239260,99.7,1166,1170,,False,False
Dennis Radtke,Germany,European People's Party (EPP),Christian Democratic Union,188945,98.2,1149,1170,,False,False
Dick Erixon,Sweden,European Conservatives and Reformists (ECR),Sweden Democrats,257091,99.4,1163,1170,,False,False
Diego Solier,Spain,European Conservatives and Reformists (ECR),European Conservatives and Reformists Group,257021,97.3,1138,1170,,False,False
Dimitris Tsiodras,Greece,European People's Party (EPP),New Democracy,256950,97.2,1137,1170,,False,False
Dirk Gotink,Netherlands,European People's Party (EPP),Christian Democratic Appeal,97399,97.8,1144,1170,,False,False
Dominik Tarczyński,Poland,European Conservatives and Reformists (ECR),Poland Comes First,204346,54.1,633,1170,,False,False
Dóra Dávid,Hungary,European People's Party (EPP),Respect and Freedom Party,256862,71.8,840,1170,,False,False
Eero Heinäluoma,Finland,Progressive Alliance of Socialists and Democrats (S&D),Social Democratic Party of Finland,197800,91.3,1068,1170,,False,False
