vote_id,vote_date,title,result,olp_stage,total_for,total_against,total_abstain,source_url
176916,2025-05-22 11:29:03,Deliberations of the Committee on Petitions in 2023,ADOPTED,,378,183,24,https://www.europarl.europa.eu/plenary/en/votes/176916.xml
176917,2025-05-22 11:29:20,Deliberations of the Committee on Petitions in 2023,REJECTED,,198,359,33,https://www.europarl.europa.eu/plenary/en/votes/176917.xml
176919,2025-05-22 11:29:46,Deliberations of the Committee on Petitions in 2023,REJECTED,,190,379,12,https://www.europarl.europa.eu/plenary/en/votes/176919.xml
176920,2025-05-22 11:30:00,Deliberations of the Committee on Petitions in 2023,REJECTED,,179,375,9,https://www.europarl.europa.eu/plenary/en/votes/176920.xml
176921,2025-05-22 11:30:13,Deliberations of the Committee on Petitions in 2023,REJECTED,,192,374,11,https://www.europarl.europa.eu/plenary/en/votes/176921.xml
176922,2025-05-22 11:30:26,Deliberations of the Committee on Petitions in 2023,REJECTED,,193,373,15,https://www.europarl.europa.eu/plenary/en/votes/176922.xml
176923,2025-05-22 11:31:30,Deliberations of the Committee on Petitions in 2023,REJECTED,,255,314,15,https://www.europarl.europa.eu/plenary/en/votes/176923.xml
176924,2025-05-22 11:31:55,Deliberations of the Committee on Petitions in 2023,ADOPTED,,298,273,15,https://www.europarl.europa.eu/plenary/en/votes/176924.xml
176929,2025-05-22 11:32:31,Deliberations of the Committee on Petitions in 2023,REJECTED,,151,405,31,https://www.europarl.europa.eu/plenary/en/votes/176929.xml
176935,2025-05-22 11:33:42,Deliberations of the Committee on Petitions in 2023,REJECTED,,233,303,46,https://www.europarl.europa.eu/plenary/en/votes/176935.xml
176936,2025-05-22 11:35:06,Deliberations of the Committee on Petitions in 2023,ADOPTED,,309,263,13,https://www.europarl.europa.eu/plenary/en/votes/176936.xml
176938,2025-05-22 11:38:10,Deliberations of the Committee on Petitions in 2023,ADOPTED,,294,261,28,https://www.europarl.europa.eu/plenary/en/votes/176938.xml
176944,2025-05-21 16:03:29,Wednesday’s agenda – Request by the PfE Group,REJECTED,,132,334,5,https://www.europarl.europa.eu/plenary/en/votes/176944.xml
176945,2025-05-21 16:03:49,Wednesday’s agenda – Request by The Left Group,REJECTED,,102,378,7,https://www.europarl.europa.eu/plenary/en/votes/176945.xml
176981,2025-06-17 12:48:45,Strengthening rural areas in the EU through cohesion policy,ADOPTED,,622,24,21,https://www.europarl.europa.eu/plenary/en/votes/176981.xml
176982,2025-06-17 12:36:41,Amending Regulation (EU) No 228/2013 as regards additional assistance and further flexibility to outermost regions affected by severe natural disasters and in the context of cyclone Chido devastating Mayotte,ADOPTED,OLP_FIRST_READING,653,7,3,https://www.europarl.europa.eu/plenary/en/votes/176982.xml
176988,2025-06-17 12:37:31,Combating the sexual abuse and sexual exploitation of children and child sexual abuse material and replacing Council Framework Decision 2004/68/JHA (recast),ADOPTED,OLP_FIRST_READING,484,127,42,https://www.europarl.europa.eu/plenary/en/votes/176988.xml
176991,2025-06-17 12:37:54,Combating the sexual abuse and sexual exploitation of children and child sexual abuse material and replacing Council Framework Decision 2004/68/JHA (recast),ADOPTED,OLP_FIRST_READING,475,125,46,https://www.europarl.europa.eu/plenary/en/votes/176991.xml
176992,2025-06-17 12:38:07,Combating the sexual abuse and sexual exploitation of children and child sexual abuse material and replacing Council Framework Decision 2004/68/JHA (recast),ADOPTED,OLP_FIRST_READING,426,184,41,https://www.europarl.europa.eu/plenary/en/votes/176992.xml
176995,2025-06-17 12:38:30,Combating the sexual abuse and sexual exploitation of children and child sexual abuse material and replacing Council Framework Decision 2004/68/JHA (recast),ADOPTED,OLP_FIRST_READING,518,95,43,https://www.europarl.europa.eu/plenary/en/votes/176995.xml
176996,2025-06-17 12:38:44,Combating the sexual abuse and sexual exploitation of children and child sexual abuse material and replacing Council Framework Decision 2004/68/JHA (recast),ADOPTED,OLP_FIRST_READING,491,79,83,https://www.europarl.europa.eu/plenary/en/votes/176996.xml
176997,2025-06-17 12:38:56,Combating the sexual abuse and sexual exploitation of children and child sexual abuse material and replacing Council Framework Decision 2004/68/JHA (recast),ADOPTED,OLP_FIRST_READING,435,153,60,https://www.europarl.europa.eu/plenary/en/votes/176997.xml
176998,2025-06-17 12:39:10,Combating the sexual abuse and sexual exploitation of children and child sexual abuse material and replacing Council Framework Decision 2004/68/JHA (recast),ADOPTED,OLP_FIRST_READING,420,187,42,https://www.europarl.europa.eu/plenary/en/votes/176998.xml
177010,2025-06-17 12:40:30,Combating the sexual abuse and sexual exploitation of children and child sexual abuse material and replacing Council Framework Decision 2004/68/JHA (recast),ADOPTED,OLP_FIRST_READING,531,84,42,https://www.europarl.europa.eu/plenary/en/votes/177010.xml
177013,2025-06-17 12:40:50,Combating the sexual abuse and sexual exploitation of children and child sexual abuse material and replacing Council Framework Decision 2004/68/JHA (recast),ADOPTED,OLP_FIRST_READING,496,115,47,https://www.europarl.europa.eu/plenary/en/votes/177013.xml
177016,2025-06-17 12:41:14,Combating the sexual abuse and sexual exploitation of children and child sexual abuse material and replacing Council Framework Decision 2004/68/JHA (recast),ADOPTED,OLP_FIRST_READING,501,70,82,https://www.europarl.europa.eu/plenary/en/votes/177016.xml
177017,2025-06-17 12:41:29,Combating the sexual abuse and sexual exploitation of children and child sexual abuse material and replacing Council Framework Decision 2004/68/JHA (recast),ADOPTED,OLP_FIRST_READING,434,189,29,https://www.europarl.europa.eu/plenary/en/votes/177017.xml
177018,2025-06-17 12:41:44,Combating the sexual abuse and sexual exploitation of children and child sexual abuse material and replacing Council Framework Decision 2004/68/JHA (recast),ADOPTED,OLP_FIRST_READING,314,249,81,https://www.europarl.europa.eu/plenary/en/votes/177018.xml
177019,2025-06-17 12:41:59,Combating the sexual abuse and sexual exploitation of children and child sexual abuse material and replacing Council Framework Decision 2004/68/JHA (recast),REJECTED,OLP_FIRST_READING,186,461,8,https://www.europarl.europa.eu/plenary/en/votes/177019.xml
177025,2025-06-17 12:42:49,Combating the sexual abuse and sexual exploitation of children and child sexual abuse material and replacing Council Framework Decision 2004/68/JHA (recast),ADOPTED,OLP_FIRST_READING,599,2,62,https://www.europarl.europa.eu/plenary/en/votes/177025.xml
177027,2025-06-17 12:48:16,Amendments to Parliament’s Rules of Procedure concerning the declaration of input (Article 8 of Annex I to the Rules of Procedure),ADOPTED,,653,0,15,https://www.europarl.europa.eu/plenary/en/votes/177027.xml
177033,2025-06-17 12:45:43,Electoral rights of mobile Union citizens in European Parliament elections,ADOPTED,,306,158,202,https://www.europarl.europa.eu/plenary/en/votes/177033.xml
177034,2025-06-17 12:45:58,Electoral rights of mobile Union citizens in European Parliament elections,ADOPTED,,587,60,21,https://www.europarl.europa.eu/plenary/en/votes/177034.xml
177035,2025-06-17 12:51:56,Financing for development – ahead of the Fourth International Conference on Financing for Development in Seville,REJECTED,,120,480,65,https://www.europarl.europa.eu/plenary/en/votes/177035.xml
177036,2025-06-17 12:52:09,Financing for development – ahead of the Fourth International Conference on Financing for Development in Seville,REJECTED,,304,305,55,https://www.europarl.europa.eu/plenary/en/votes/177036.xml
177037,2025-06-17 12:52:26,Financing for development – ahead of the Fourth International Conference on Financing for Development in Seville,REJECTED,,281,361,21,https://www.europarl.europa.eu/plenary/en/votes/177037.xml
177038,2025-06-17 12:52:42,Financing for development – ahead of the Fourth International Conference on Financing for Development in Seville,REJECTED,,278,371,15,https://www.europarl.europa.eu/plenary/en/votes/177038.xml
177039,2025-06-17 12:52:56,Financing for development – ahead of the Fourth International Conference on Financing for Development in Seville,REJECTED,,303,328,24,https://www.europarl.europa.eu/plenary/en/votes/177039.xml
177040,2025-06-17 12:53:10,Financing for development – ahead of the Fourth International Conference on Financing for Development in Seville,ADOPTED,,475,181,9,https://www.europarl.europa.eu/plenary/en/votes/177040.xml
177041,2025-06-17 12:53:23,Financing for development – ahead of the Fourth International Conference on Financing for Development in Seville,REJECTED,,296,339,31,https://www.europarl.europa.eu/plenary/en/votes/177041.xml
177042,2025-06-17 12:53:36,Financing for development – ahead of the Fourth International Conference on Financing for Development in Seville,REJECTED,,290,357,17,https://www.europarl.europa.eu/plenary/en/votes/177042.xml
177043,2025-06-17 12:53:49,Financing for development – ahead of the Fourth International Conference on Financing for Development in Seville,ADOPTED,,361,244,60,https://www.europarl.europa.eu/plenary/en/votes/177043.xml
177044,2025-06-17 12:54:03,Financing for development – ahead of the Fourth International Conference on Financing for Development in Seville,REJECTED,,280,322,62,https://www.europarl.europa.eu/plenary/en/votes/177044.xml
177045,2025-06-17 12:54:15,Financing for development – ahead of the Fourth International Conference on Financing for Development in Seville,ADOPTED,,312,295,57,https://www.europarl.europa.eu/plenary/en/votes/177045.xml
